mem_used,cpu_used,disc_used,date
"76,6,41,""2021-09-23 13:34:43"""
"76,7,41,""2021-09-23 13:34:43"""
"76,9,41,""2021-09-23 13:34:45"""
"76,10,41,""2021-09-23 13:34:45"""
"76,7,41,""2021-09-23 13:34:47"""
"76,7,41,""2021-09-23 13:34:47"""
"76,10,41,""2021-09-23 13:34:49"""
"76,10,41,""2021-09-23 13:34:49"""
"77,14,41,""2021-09-23 13:34:51"""
"77,14,41,""2021-09-23 13:34:51"""
"77,13,41,""2021-09-23 13:34:53"""
"77,13,41,""2021-09-23 13:34:53"""
"77,13,41,""2021-09-23 13:34:56"""
"77,14,41,""2021-09-23 13:34:56"""
"77,12,41,""2021-09-23 13:34:58"""
"77,13,41,""2021-09-23 13:34:58"""
"77,11,41,""2021-09-23 13:35:00"""
"77,11,41,""2021-09-23 13:35:00"""
"77,5,41,""2021-09-23 13:35:02"""
"77,5,41,""2021-09-23 13:35:02"""
"77,8,41,""2021-09-23 13:35:04"""
"77,8,41,""2021-09-23 13:35:04"""
"77,14,41,""2021-09-23 13:35:06"""
"77,14,41,""2021-09-23 13:35:06"""
"77,8,41,""2021-09-23 13:35:08"""
"77,8,41,""2021-09-23 13:35:08"""
"77,4,41,""2021-09-23 13:35:10"""
"77,4,41,""2021-09-23 13:35:10"""
"77,9,41,""2021-09-23 13:35:12"""
"77,9,41,""2021-09-23 13:35:12"""
"77,11,41,""2021-09-23 13:35:14"""
"77,11,41,""2021-09-23 13:35:14"""
"77,8,41,""2021-09-23 13:35:17"""
"77,8,41,""2021-09-23 13:35:17"""
"77,8,41,""2021-09-23 13:35:19"""
"77,8,41,""2021-09-23 13:35:19"""
"78,12,41,""2021-09-23 13:35:21"""
"78,11,41,""2021-09-23 13:35:21"""
"77,8,41,""2021-09-23 13:35:23"""
"77,8,41,""2021-09-23 13:35:23"""
"77,6,41,""2021-09-23 13:35:25"""
"77,6,41,""2021-09-23 13:35:25"""
"77,4,41,""2021-09-23 13:35:27"""
"77,4,41,""2021-09-23 13:35:27"""
"77,5,41,""2021-09-23 13:35:29"""
"77,5,41,""2021-09-23 13:35:29"""
"77,4,41,""2021-09-23 13:35:31"""
"77,4,41,""2021-09-23 13:35:31"""
"77,6,41,""2021-09-23 13:35:33"""
