mem_used,cpu_used,disc_used,date
68,9,41,"2021-09-20 14:29:37"
68,8,41,"2021-09-20 14:29:45"
68,8,41,"2021-09-20 14:29:53"
68,8,41,"2021-09-20 14:30:01"
68,8,41,"2021-09-20 14:30:09"
68,7,41,"2021-09-20 14:30:17"
68,7,41,"2021-09-20 14:30:25"
68,7,41,"2021-09-20 14:30:34"
68,6,41,"2021-09-20 14:30:42"
68,6,41,"2021-09-20 14:30:50"
68,6,41,"2021-09-20 14:30:58"
68,6,41,"2021-09-20 14:31:06"
68,6,41,"2021-09-20 14:31:14"
68,6,41,"2021-09-20 14:31:23"
68,6,41,"2021-09-20 14:31:31"
68,6,41,"2021-09-20 14:31:39"
68,5,41,"2021-09-20 14:31:47"
68,5,41,"2021-09-20 14:31:55"
68,5,41,"2021-09-20 14:32:03"
68,5,41,"2021-09-20 14:32:12"
68,5,41,"2021-09-20 14:32:20"
68,5,41,"2021-09-20 14:32:28"
68,5,41,"2021-09-20 14:32:36"
68,5,41,"2021-09-20 14:32:41"
56,13,41,"2021-09-20 19:35:04"
55,11,41,"2021-09-20 19:35:12"
55,11,41,"2021-09-20 19:35:20"
55,10,41,"2021-09-20 19:35:28"
56,17,41,"2021-09-20 19:35:37"
57,28,41,"2021-09-20 19:35:45"
59,33,41,"2021-09-20 19:35:53"
60,39,41,"2021-09-20 19:36:01"
61,41,41,"2021-09-20 19:36:10"
62,39,41,"2021-09-20 19:36:18"
63,38,41,"2021-09-20 19:36:26"
63,38,41,"2021-09-20 19:36:34"
64,38,41,"2021-09-20 19:36:43"
64,37,41,"2021-09-20 19:36:51"
65,36,41,"2021-09-20 19:36:59"
65,36,41,"2021-09-20 19:37:07"
65,35,41,"2021-09-20 19:37:15"
65,34,41,"2021-09-20 19:37:24"
65,33,41,"2021-09-20 19:37:32"
65,33,41,"2021-09-20 19:37:40"
66,32,41,"2021-09-20 19:37:48"
66,32,41,"2021-09-20 19:37:57"
66,31,41,"2021-09-20 19:38:05"
66,31,41,"2021-09-20 19:38:13"
66,30,41,"2021-09-20 19:38:21"
66,30,41,"2021-09-20 19:38:29"
66,29,41,"2021-09-20 19:38:38"
66,29,41,"2021-09-20 19:38:46"
66,29,41,"2021-09-20 19:38:54"
66,28,41,"2021-09-20 19:39:02"
66,28,41,"2021-09-20 19:39:11"
66,28,41,"2021-09-20 19:39:19"
66,28,41,"2021-09-20 19:39:27"
66,27,41,"2021-09-20 19:39:35"
66,27,41,"2021-09-20 19:39:44"
66,26,41,"2021-09-20 19:39:52"
66,26,41,"2021-09-20 19:40:00"
66,26,41,"2021-09-20 19:40:08"
66,26,41,"2021-09-20 19:40:17"
66,26,41,"2021-09-20 19:40:25"
66,25,41,"2021-09-20 19:40:33"
66,25,41,"2021-09-20 19:40:41"
66,25,41,"2021-09-20 19:40:49"
66,25,41,"2021-09-20 19:40:58"
66,25,41,"2021-09-20 19:41:06"
66,25,41,"2021-09-20 19:41:14"
66,25,41,"2021-09-20 19:41:22"
66,25,41,"2021-09-20 19:41:31"
66,25,41,"2021-09-20 19:41:39"
66,25,41,"2021-09-20 19:41:47"
66,25,41,"2021-09-20 19:41:55"
66,24,41,"2021-09-20 19:42:03"
66,24,41,"2021-09-20 19:42:12"
66,24,41,"2021-09-20 19:42:20"
66,24,41,"2021-09-20 19:42:28"
66,24,41,"2021-09-20 19:42:36"
66,24,41,"2021-09-20 19:42:45"
66,24,41,"2021-09-20 19:42:53"
66,24,41,"2021-09-20 19:43:01"
66,24,41,"2021-09-20 19:43:09"
66,24,41,"2021-09-20 19:43:18"
66,24,41,"2021-09-20 19:43:26"
66,23,41,"2021-09-20 19:43:34"
66,23,41,"2021-09-20 19:43:42"
66,23,41,"2021-09-20 19:43:51"
66,23,41,"2021-09-20 19:43:59"
66,23,41,"2021-09-20 19:44:07"
66,23,41,"2021-09-20 19:44:15"
66,23,41,"2021-09-20 19:44:24"
66,23,41,"2021-09-20 19:44:32"
66,23,41,"2021-09-20 19:44:40"
66,23,41,"2021-09-20 19:44:48"
66,23,41,"2021-09-20 19:44:56"
66,23,41,"2021-09-20 19:45:05"
66,23,41,"2021-09-20 19:45:13"
66,23,41,"2021-09-20 19:45:13"
